id_municipio;nome;quantidade_nascimentos_ate_2010
1100015;Adao;36
1100015;Adelina;10
1100015;Adelson;10
1100015;Ademar;19
1100015;Ademir;46
1100015;Adenilson;12
1100015;Adilson;31
1100015;Adriana;60
1100015;Adriano;39
1100015;Adriele;13
1100015;Afonso;10
1100015;Agnaldo;16
1100015;Aguinaldo;11
1100015;Ailton;25
1100015;Alan;16
1100015;Alessandra;17
1100015;Alessandro;18
1100015;Alex;37
1100015;Alexandra;15
1100015;Alexandre;33
1100015;Alexandro;15
1100015;Alfredo;10
1100015;Alice;19
1100015;Aline;77
1100015;Alisson;19
1100015;Almir;14
1100015;Altair;11
1100015;Alzira;11
1100015;Amanda;51
1100015;Amarildo;13
1100015;Ana;300
1100015;Anderson;67
1100015;Andre;62
1100015;Andreia;53
1100015;Andressa;35
1100015;Andriele;10
1100015;Angela;29
1100015;Angelica;42
1100015;Angelina;11
1100015;Angelo;10
1100015;Anita;10
1100015;Antonia;37
1100015;Antonio;270
1100015;Aparecida;45
1100015;Aparecido;31
1100015;Arlindo;12
1100015;Arnaldo;13
1100015;Artur;11
1100015;Barbara;11
1100015;Beatriz;24
1100015;Benedita;12
1100015;Benedito;23
1100015;Bruna;43
1100015;Bruno;81
1100015;Caio;14
1100015;Camila;58
1100015;Carla;17
1100015;Carlos;143
1100015;Carolaine;14
1100015;Caroline;18
1100015;Cecilia;12
1100015;Celia;32
1100015;Celio;15
1100015;Celma;10
1100015;Celso;22
1100015;Cicero;25
1100015;Cintia;11
1100015;Clarice;18
1100015;Claudemir;26
1100015;Claudete;11
1100015;Claudia;22
1100015;Claudinei;36
1100015;Claudineia;17
1100015;Claudio;37
1100015;Cleber;15
1100015;Cleide;25
1100015;Cleiton;19
1100015;Cleonice;15
1100015;Cleusa;16
1100015;Cleuza;21
1100015;Cleverson;15
1100015;Clovis;12
1100015;Creuza;15
1100015;Cristiane;31
1100015;Cristiano;18
1100015;Cristina;16
1100015;Daiane;53
1100015;Daniel;81
1100015;Daniela;25
1100015;Daniele;26
1100015;Danieli;10
1100015;Danilo;19
1100015;Darci;17
1100015;Davi;24
1100015;David;16
1100015;Debora;41
1100015;Denilson;10
1100015;Denise;16
1100015;Diana;11
1100015;Diego;57
1100015;Diogo;20
1100015;Dione;22
1100015;Divino;14
1100015;Domingos;14
1100015;Donizete;18
1100015;Douglas;27
1100015;Eder;23
1100015;Edilaine;11
1100015;Edilene;10
1100015;Edimar;19
1100015;Edina;16
1100015;Edineia;16
1100015;Edite;11
1100015;Edivaldo;13
1100015;Edmar;10
1100015;Edna;21
1100015;Edson;46
1100015;Eduarda;18
1100015;Eduardo;73
1100015;Edvaldo;16
1100015;Elaine;39
1100015;Elena;13
1100015;Elenice;10
1100015;Eliane;62
1100015;Elias;50
1100015;Eliel;12
